restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords,first_review_date,last_review_date
g1020232-d21124853,Aux Baroudeurs,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Turballe""]",France,Pays de la Loire,Loire-Atlantique,La Turballe,"11 B boulevard Bellanger, 44420 La Turballe France",47.34384,-2.50689,Unclaimed,,#18 of 25 Restaurants in La Turballe,#18 of 27 places to eat in La Turballe,"Mid-range, French, Dining bars",€€-€€€,,"Lunch, Dinner","French, Dining bars",,Reservations,N,N,N,"{""Mon"": [""10:30-22:00""], ""Tue"": [""10:30-22:00""], ""Wed"": [""10:30-22:00""], ""Thu"": [""10:30-22:00""], ""Fri"": [""10:30-22:00""], ""Sat"": [""10:30-22:00""], ""Sun"": [""10:30-22:00""]}",7.0,80.5,7.0,4.5,11.0,All languages,11.0,6.0,4.0,0.0,1.0,0.0,,,,,,2021-04-05,
g1020232-d3242786,La Taverne des Pecheurs,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Turballe""]",France,Pays de la Loire,Loire-Atlantique,La Turballe,"2 rue du Marechal Leclerc, 44420 La Turballe France",47.34812,-2.511667,Claimed,,#16 of 25 Restaurants in La Turballe,#16 of 27 places to eat in La Turballe,"Mid-range, French, European",€€-€€€,€11-€30,"Lunch, Dinner, Drinks","French, European",,,N,N,N,"{""Mon"": [""09:00-22:00""], ""Tue"": [""09:00-15:30""], ""Wed"": [""09:00-22:00""], ""Thu"": [""09:00-22:00""], ""Fri"": [""09:00-22:00""], ""Sat"": [""09:00-22:00""], ""Sun"": [""09:00-22:00""]}",7.0,84.5,7.0,4.0,28.0,English,1.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,4.5,,,2017-09-28,2019-08-24
g1020232-d3323244,Les Sarments,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Turballe""]",France,Pays de la Loire,Loire-Atlantique,La Turballe,"10 rue Saint Francois, 44420 La Turballe France",47.348328,-2.511675,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",#5 of 25 Restaurants in La Turballe,#5 of 27 places to eat in La Turballe,"Mid-range, French, Grill",€€-€€€,,"Lunch, Dinner","French, Grill",,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service, Gift Cards Available",N,N,N,"{""Mon"": [""12:00-14:00"", ""19:00-21:30""], ""Tue"": [""12:00-14:00"", ""19:00-21:30""], ""Wed"": [""12:00-14:00"", ""19:00-21:30""], ""Thu"": [""12:00-14:00"", ""19:00-21:30""], ""Fri"": [""12:00-14:00"", ""19:00-21:30""], ""Sat"": [""12:00-14:00"", ""19:00-21:30""], ""Sun"": [""12:00-14:30"", ""19:00-21:00""]}",7.0,31.5,14.0,4.0,318.0,English,11.0,8.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,,2017-06-16,2018-11-01
g1020232-d3410070,La Godille,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Turballe""]",France,Pays de la Loire,Loire-Atlantique,La Turballe,"10 rue du Marechal Leclerc, 44420 La Turballe France",47.348045,-2.51131,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",#3 of 25 Restaurants in La Turballe,#3 of 27 places to eat in La Turballe,"Mid-range, French, Seafood, European",€€-€€€,,"Lunch, Dinner","French, Seafood, European",,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",N,N,N,,,,,4.5,542.0,English,13.0,10.0,3.0,0.0,0.0,0.0,4.5,4.5,4.5,4.0,,2020-09-22,2023-12-31
g1020232-d3446792,La Marie Galante,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Turballe""]",France,Pays de la Loire,Loire-Atlantique,La Turballe,"24 quai Saint Paul, 44420 La Turballe France",47.34802,-2.51224,Claimed,"Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#6 of 25 Restaurants in La Turballe,#6 of 27 places to eat in La Turballe,"Mid-range, Italian, French, Pizza",€€-€€€,,"Lunch, Dinner","French, Italian, Pizza, European, Grill",,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",N,N,N,"{""Mon"": [], ""Tue"": [""12:00-13:30"", ""19:00-21:30""], ""Wed"": [""12:00-13:30"", ""19:00-21:30""], ""Thu"": [""12:00-13:30""], ""Fri"": [""12:00-13:30"", ""19:00-21:30""], ""Sat"": [""12:00-13:30"", ""19:00-21:30""], ""Sun"": [""12:00-13:30""]}",6.0,19.0,10.0,4.0,301.0,English,9.0,8.0,0.0,0.0,1.0,0.0,4.0,4.5,4.0,4.0,,2018-11-10,2019-10-07
g1020232-d3528821,La Passerelle,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Turballe""]",France,Pays de la Loire,Loire-Atlantique,La Turballe,"3 quai Saint Pierre, 44420 La Turballe France",47.347805,-2.511808,Unclaimed,Certificate of Excellence 2016,#12 of 25 Restaurants in La Turballe,#12 of 27 places to eat in La Turballe,"Mid-range, French, European, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner, After-hours","French, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:00-14:30"", ""19:30-22:30""], ""Tue"": [""11:00-14:30"", ""19:30-22:30""], ""Wed"": [""11:00-14:30"", ""19:30-22:30""], ""Thu"": [""11:00-14:30"", ""19:30-22:30""], ""Fri"": [""11:00-14:30"", ""19:30-22:30""], ""Sat"": [""11:00-14:30"", ""19:30-22:30""], ""Sun"": [""11:00-14:30"", ""19:30-22:30""]}",7.0,45.5,14.0,4.0,477.0,English,15.0,8.0,5.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,,2011-01-06,2015-04-02
g1020232-d3648198,L'Escale,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Turballe""]",France,Pays de la Loire,Loire-Atlantique,La Turballe,"1 rue Garlahy, 44420 La Turballe France",47.349182,-2.514028,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#9 of 25 Restaurants in La Turballe,#9 of 27 places to eat in La Turballe,"Mid-range, French",€€-€€€,,"Lunch, Dinner",French,,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service, Highchairs Available",N,N,N,"{""Mon"": [], ""Tue"": [""12:00-15:00""], ""Wed"": [""12:00-15:00""], ""Thu"": [""12:00-15:00""], ""Fri"": [""12:00-15:00"", ""18:45-21:00""], ""Sat"": [""12:00-15:00"", ""18:45-21:00""], ""Sun"": [""12:00-15:00""]}",6.0,22.5,8.0,4.5,135.0,English,5.0,4.0,0.0,1.0,0.0,0.0,4.5,4.5,4.0,3.5,,2014-01-13,2016-10-06
g1020232-d4204819,Restaurant de l'Hotel Pen Bron,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Turballe""]",France,Pays de la Loire,Loire-Atlantique,La Turballe,44420 La Turballe France,47.303307,-2.510955,Claimed,,#23 of 25 Restaurants in La Turballe,#23 of 27 places to eat in La Turballe,"Mid-range, French, Seafood",€€-€€€,,"Lunch, Breakfast, Dinner","French, Seafood",,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Accepts Credit Cards",N,N,N,,,,,3.0,53.0,All languages,53.0,5.0,23.0,7.0,9.0,9.0,3.5,3.5,3.5,3.5,,2012-06-22,2014-10-27
g1020232-d4474470,Creperie du plat pays,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Turballe""]",France,Pays de la Loire,Loire-Atlantique,La Turballe,"17 rue Ropert Place du forum, 44420 La Turballe France",47.34726,-2.510458,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2016, Certificate of Excellence 2015",#8 of 25 Restaurants in La Turballe,#8 of 27 places to eat in La Turballe,"Mid-range, French, Vegetarian Friendly",€€-€€€,€12-€25,,French,Vegetarian Friendly,,Y,N,N,"{""Mon"": [""12:00-14:00"", ""19:00-21:00""], ""Tue"": [""12:00-14:00"", ""19:00-21:00""], ""Wed"": [""12:00-14:00""], ""Thu"": [], ""Fri"": [""12:00-14:00"", ""19:00-21:30""], ""Sat"": [""12:00-14:00"", ""19:00-21:30""], ""Sun"": [""12:00-14:30"", ""19:00-21:00""]}",6.0,23.5,11.0,4.5,165.0,English,2.0,0.0,2.0,0.0,0.0,0.0,4.5,4.5,4.5,4.0,,2020-04-14,
g1020232-d4743842,La Chaloupe,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Turballe""]",France,Pays de la Loire,Loire-Atlantique,La Turballe,"21 Place du Marche, 44420 La Turballe France",47.34985,-2.51236,Unclaimed,,#22 of 25 Restaurants in La Turballe,#22 of 27 places to eat in La Turballe,"Mid-range, Deli",€€-€€€,,,Deli,,Reservations,N,N,N,,,,,4.5,8.0,All languages,8.0,5.0,2.0,0.0,1.0,0.0,,,,,,,2013-06-22
g1020232-d6996719,Restaurant l'Océane,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Turballe""]",France,Pays de la Loire,Loire-Atlantique,La Turballe,"5 rue du Marechal Leclerc, 44420 La Turballe France",47.34831,-2.511438,Claimed,,#20 of 25 Restaurants in La Turballe,#20 of 27 places to eat in La Turballe,"Mid-range, French, European",€€-€€€,,"Lunch, Dinner, After-hours, Drinks","French, European",,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service, Highchairs Available, Gift Cards Available",N,N,N,"{""Mon"": [""12:00-14:30"", ""18:00-22:00""], ""Tue"": [""12:00-14:30"", ""18:00-22:00""], ""Wed"": [""12:00-17:00""], ""Thu"": [""12:00-14:30""], ""Fri"": [""12:00-14:30""], ""Sat"": [""12:00-23:59""], ""Sun"": [""12:00-23:59""]}",7.0,46.96666666666667,9.0,3.5,212.0,English,4.0,1.0,2.0,1.0,0.0,0.0,3.0,3.5,3.5,3.5,,2012-10-31,
g1020232-d7021777,La Cotrinade,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Turballe""]",France,Pays de la Loire,Loire-Atlantique,La Turballe,"6 rue du Marechal Leclerc, 44420 La Turballe France",47.348,-2.511514,Unclaimed,Certificate of Excellence 2017,#19 of 25 Restaurants in La Turballe,#19 of 27 places to eat in La Turballe,"Cheap Eats, French",€,,"Lunch, Dinner",French,,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",N,N,N,,,,,3.5,91.0,English,7.0,3.0,3.0,0.0,0.0,1.0,3.5,4.0,4.0,4.0,,2018-05-13,2019-02-01
g1020232-d7284612,Le Petit Mousse 'Tapha,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Turballe""]",France,Pays de la Loire,Loire-Atlantique,La Turballe,"12 quai Saint Paul, 44420 La Turballe France",47.34874,-2.51302,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018",#11 of 25 Restaurants in La Turballe,#11 of 27 places to eat in La Turballe,"Cheap Eats, Moroccan, Mediterranean, Middle Eastern",€,,"Lunch, Dinner","Moroccan, Middle Eastern, Mediterranean",,"Takeout, Reservations, Seating, Wheelchair Accessible, Accepts Credit Cards, Table Service, Outdoor Seating, Serves Alcohol",N,N,N,"{""Mon"": [], ""Tue"": [""12:00-13:00"", ""19:00-20:30""], ""Wed"": [""12:00-13:00"", ""19:00-20:30""], ""Thu"": [""12:00-13:00"", ""19:00-20:30""], ""Fri"": [""12:00-13:00"", ""19:00-20:30""], ""Sat"": [""12:00-13:00"", ""19:00-20:30""], ""Sun"": [""12:00-13:00"", ""19:00-20:30""]}",6.0,15.0,12.0,4.5,70.0,English,1.0,1.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,,,2019-09-22,2019-11-08
g1020243-d1339245,Casse-Croute Vendeen,"[""Europe"", ""France"", ""Pays de la Loire"", ""Vendee"", ""Pouzauges""]",France,Pays de la Loire,Vendee,Pouzauges,"31 rue de la Mare, 85700 Pouzauges France",46.77329,-0.834946,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#2 of 7 Restaurants in Pouzauges,#2 of 7 places to eat in Pouzauges,"Mid-range, French, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner, After-hours",French,Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:30-14:00""], ""Tue"": [""11:30-14:00""], ""Wed"": [""11:30-14:00""], ""Thu"": [""11:30-14:00""], ""Fri"": [""11:30-21:00""], ""Sat"": [""17:00-21:00""], ""Sun"": []}",6.0,23.5,6.0,4.0,545.0,English,19.0,5.0,7.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,,2017-01-16,2017-07-01
g1020243-d4305871,Restaurant PARAMY,"[""Europe"", ""France"", ""Pays de la Loire"", ""Vendee"", ""Pouzauges""]",France,Pays de la Loire,Vendee,Pouzauges,"4 Place de l Eglise, 85700 Pouzauges France",46.78308,-0.83679,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 7 Restaurants in Pouzauges,#1 of 7 places to eat in Pouzauges,"Cheap Eats, Chinese, Asian, Thai",€,,"Lunch, Dinner, Drinks","Chinese, Asian, Thai",,"Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Highchairs Available",N,N,N,"{""Mon"": [], ""Tue"": [""12:00-14:00"", ""19:00-22:00""], ""Wed"": [""12:00-14:00"", ""19:00-22:00""], ""Thu"": [""12:00-14:00"", ""19:00-22:00""], ""Fri"": [""12:00-14:00"", ""19:00-22:00""], ""Sat"": [""19:00-22:00""], ""Sun"": [""12:00-14:00"", ""19:00-22:00""]}",6.0,28.0,11.0,4.5,154.0,English,6.0,3.0,2.0,1.0,0.0,0.0,4.5,4.5,5.0,4.5,,2022-01-17,2023-12-31
g1020243-d5865446,La Boule D'or Restaurant,"[""Europe"", ""France"", ""Pays de la Loire"", ""Vendee"", ""Pouzauges""]",France,Pays de la Loire,Vendee,Pouzauges,"3 rue du Docteur Barbanneau, 85700 Pouzauges France",46.78379,-0.83652,Unclaimed,,#5 of 7 Restaurants in Pouzauges,#5 of 7 places to eat in Pouzauges,"Mid-range, French, Seafood, European",€€-€€€,,,"French, Seafood, European",,Reservations,N,N,N,,,,,4.5,8.0,All languages,8.0,3.0,4.0,1.0,0.0,0.0,,,,,,2022-11-11,2023-12-31
g1020243-d6494511,Le Poulbot,"[""Europe"", ""France"", ""Pays de la Loire"", ""Vendee"", ""Pouzauges""]",France,Pays de la Loire,Vendee,Pouzauges,"14 Place de l Eglise, 85700 Pouzauges France",46.782967,-0.83659,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2016",#3 of 7 Restaurants in Pouzauges,#3 of 7 places to eat in Pouzauges,"Mid-range, Italian, French, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner","Italian, French",Vegetarian Friendly,,Y,N,N,,,,,4.0,176.0,English,13.0,7.0,6.0,0.0,0.0,0.0,4.5,4.5,4.5,4.5,,2011-11-07,2015-08-28
g1020243-d7145759,Auberge de la Bruyere,"[""Europe"", ""France"", ""Pays de la Loire"", ""Vendee"", ""Pouzauges""]",France,Pays de la Loire,Vendee,Pouzauges,"18 rue du Docteur Barbanneau, 85700 Pouzauges France",46.78354,-0.833761,Claimed,,#4 of 7 Restaurants in Pouzauges,#4 of 7 places to eat in Pouzauges,"Mid-range, French",€€-€€€,€12-€35,"Lunch, Dinner, Breakfast",French,,,N,N,N,"{""Mon"": [""12:15-13:30"", ""19:15-21:00""], ""Tue"": [""12:15-13:30"", ""19:15-21:00""], ""Wed"": [""12:15-13:30"", ""19:15-21:00""], ""Thu"": [""12:15-13:30"", ""19:15-21:00""], ""Fri"": [""12:15-13:30""], ""Sat"": [""19:15-21:00""], ""Sun"": [""12:15-13:30""]}",7.0,16.25,11.0,4.0,44.0,English,3.0,2.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,,,,2023-12-31
g1020243-d8630780,Restaurant Le France,"[""Europe"", ""France"", ""Pays de la Loire"", ""Vendee"", ""Pouzauges""]",France,Pays de la Loire,Vendee,Pouzauges,"1 rue Catherine de Thouars, 85700 Pouzauges France",46.78238,-0.83628,Unclaimed,,#6 of 7 Restaurants in Pouzauges,#6 of 7 places to eat in Pouzauges,"Mid-range, French",€€-€€€,€10-€30,,French,,,N,N,N,,,,,4.5,2.0,All languages,2.0,1.0,1.0,0.0,0.0,0.0,,,,,,2018-08-07,2023-01-27
g1020243-d9729611,L'Express,"[""Europe"", ""France"", ""Pays de la Loire"", ""Vendee"", ""Pouzauges""]",France,Pays de la Loire,Vendee,Pouzauges,"15 avenue des Moulins, 85700 Pouzauges France",46.78197,-0.8388,Unclaimed,,#7 of 7 Restaurants in Pouzauges,#7 of 7 places to eat in Pouzauges,Cheap Eats,€,,,,,,N,N,N,,,,,3.5,6.0,All languages,6.0,2.0,2.0,0.0,1.0,1.0,,,,,,2018-11-27,2023-03-08
g1020948-d12323355,Le Relais du Breuil,"[""Europe"", ""France"", ""Normandy"", ""Basse-Normandie"", ""Orne"", ""Moutiers au Perche""]",France,Normandy,Basse-Normandie,Moutiers au Perche,"Le Bourg Le Breuil-en-Auge, 14130 Moutiers au Perche France",,,Unclaimed,,#2 of 2 Restaurants in Moutiers au Perche,#2 of 2 places to eat in Moutiers au Perche,,,,Lunch,,,,N,N,N,"{""Mon"": [""11:00-15:00""], ""Tue"": [""11:00-15:00""], ""Wed"": [""11:00-15:00""], ""Thu"": [""11:00-15:00""], ""Fri"": [""11:00-15:00""], ""Sat"": [], ""Sun"": []}",5.0,20.0,5.0,4.5,2.0,All languages,2.0,1.0,1.0,0.0,0.0,0.0,,,,,,2011-05-02,2012-01-15
g1020948-d8529330,Villa Fol Avril,"[""Europe"", ""France"", ""Normandy"", ""Basse-Normandie"", ""Orne"", ""Moutiers au Perche""]",France,Normandy,Basse-Normandie,Moutiers au Perche,"2 rue des Fers Chauds, 61110 Moutiers au Perche France",48.47647,0.844839,Claimed,Certificate of Excellence 2017,#1 of 2 Restaurants in Moutiers au Perche,#1 of 2 places to eat in Moutiers au Perche,"Mid-range, French, European",€€-€€€,€25-€50,"Lunch, Dinner","French, European",,,N,N,N,,,,,4.5,57.0,English,7.0,5.0,0.0,2.0,0.0,0.0,4.5,4.5,4.0,,,2018-09-15,2018-10-03
g10211073-d3680655,Auberge de l'Abbaye,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Neauphle-Le-Vieux""]",France,Ile-de-France,Yvelines,Neauphle-Le-Vieux,"Place Sully, 78640 Neauphle-Le-Vieux France",48.81511,1.86401,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#1 of 1 Restaurant in Neauphle-Le-Vieux,#1 of 1 places to eat in Neauphle-Le-Vieux,"Mid-range, French",€€-€€€,,"Lunch, Dinner",French,,"Reservations, Seating, Parking Available, Free off-street parking, Serves Alcohol, Full Bar, Wine and Beer, Table Service, Outdoor Seating",N,N,N,"{""Mon"": [""11:45-14:00""], ""Tue"": [], ""Wed"": [""11:45-14:00""], ""Thu"": [""11:45-14:00""], ""Fri"": [""11:45-14:00"", ""18:30-21:00""], ""Sat"": [""11:45-14:00"", ""18:30-21:00""], ""Sun"": [""11:45-14:00""]}",6.0,18.5,8.0,4.5,57.0,English,2.0,2.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,,,2020-02-27,2023-12-31
g1021490-d10148916,Sushi Nobara,"[""Europe"", ""France"", ""Hauts-de-France"", ""Oise"", ""Noyon""]",France,Hauts-de-France,Oise,Noyon,"35 rue de Paris, 60400 Noyon France",49.57973,2.99676,Unclaimed,,#8 of 23 Restaurants in Noyon,#8 of 26 places to eat in Noyon,"Mid-range, Japanese, Sushi, Asian",€€-€€€,,"Lunch, Dinner","Japanese, Sushi, Asian",Vegetarian Friendly,,Y,N,N,,,,,4.5,39.0,English,2.0,1.0,1.0,0.0,0.0,0.0,4.5,4.0,4.0,,,2018-02-17,2021-01-11
g1021490-d10326010,Le Stromboli,"[""Europe"", ""France"", ""Hauts-de-France"", ""Oise"", ""Noyon""]",France,Hauts-de-France,Oise,Noyon,"9 cours Druon, 60400 Noyon France",49.57919,3.00616,Unclaimed,,#14 of 23 Restaurants in Noyon,#14 of 26 places to eat in Noyon,"Mid-range, Italian, French",€€-€€€,,"Dinner, Lunch","Italian, French",,"Takeout, Reservations, Wheelchair Accessible, Table Service, Seating",N,N,N,,,,,4.0,23.0,All languages,23.0,9.0,9.0,1.0,1.0,3.0,4.0,4.5,4.0,,,2011-03-08,2012-06-26
g1021490-d10642486,Les Saveurs Portugaises,"[""Europe"", ""France"", ""Hauts-de-France"", ""Oise"", ""Noyon""]",France,Hauts-de-France,Oise,Noyon,"70 rue du Moulin D Andeux, 60400 Noyon France",49.575447,2.998324,Unclaimed,,#12 of 23 Restaurants in Noyon,#12 of 26 places to eat in Noyon,"Mid-range, European, Portuguese",€€-€€€,,"Lunch, Dinner","Portuguese, European",,"Takeout, Reservations, Seating, Wheelchair Accessible, Table Service",N,N,N,,,,,4.5,16.0,All languages,16.0,9.0,6.0,1.0,0.0,0.0,5.0,4.5,4.5,,,2017-04-28,2017-12-07
g1021490-d10661672,La Payotte,"[""Europe"", ""France"", ""Hauts-de-France"", ""Oise"", ""Noyon""]",France,Hauts-de-France,Oise,Noyon,"3 rue Saint Eloi, 60400 Noyon France",49.58108,3.00115,Unclaimed,,#21 of 23 Restaurants in Noyon,#21 of 26 places to eat in Noyon,,,,,,,,N,N,N,,,,,3.5,3.0,All languages,3.0,0.0,2.0,1.0,0.0,0.0,,,,,,2023-02-06,2023-12-31
g1021490-d11718770,Aux Ange-Vins,"[""Europe"", ""France"", ""Hauts-de-France"", ""Oise"", ""Noyon""]",France,Hauts-de-France,Oise,Noyon,"30 Street General de Gaulle, 60400 Noyon France",49.58204,3.002371,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018",#7 of 23 Restaurants in Noyon,#7 of 26 places to eat in Noyon,"Mid-range, French, Wine Bar",€€-€€€,€9-€16,"Lunch, Dinner, Drinks","French, Wine Bar",,,N,N,N,"{""Mon"": [], ""Tue"": [""10:00-15:00""], ""Wed"": [""10:00-15:00"", ""17:30-21:30""], ""Thu"": [""10:00-21:30""], ""Fri"": [""10:00-23:00""], ""Sat"": [""10:00-23:00""], ""Sun"": []}",5.0,51.5,6.0,4.5,85.0,English,5.0,4.0,0.0,1.0,0.0,0.0,4.5,4.5,4.5,,,2020-02-16,2021-09-21
g1021490-d1322367,Zen,"[""Europe"", ""France"", ""Hauts-de-France"", ""Oise"", ""Noyon""]",France,Hauts-de-France,Oise,Noyon,"35 rue de Paris, 60400 Noyon France",49.57973,2.99676,Unclaimed,,#17 of 23 Restaurants in Noyon,#17 of 26 places to eat in Noyon,,,,,,,,N,N,N,,,,,4.0,6.0,All languages,6.0,3.0,2.0,0.0,1.0,0.0,,,,,,2011-12-04,2012-06-09
g1021490-d1323307,Le Palais de Noyon,"[""Europe"", ""France"", ""Hauts-de-France"", ""Oise"", ""Noyon""]",France,Hauts-de-France,Oise,Noyon,"7 avenue Jean Jaures, 60400 Noyon France",49.57742,2.99327,Unclaimed,,#15 of 23 Restaurants in Noyon,#15 of 26 places to eat in Noyon,"Mid-range, Chinese, Asian",€€-€€€,,Dinner,"Chinese, Asian",,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Takeout",N,N,N,,,,,3.5,52.0,English,2.0,0.0,0.0,1.0,0.0,1.0,3.5,3.5,3.5,3.5,,2023-06-09,2023-12-31
g1021490-d1323308,Mac Donald's,"[""Europe"", ""France"", ""Hauts-de-France"", ""Oise"", ""Noyon""]",France,Hauts-de-France,Oise,Noyon,"20 route de Paris, 60400 Noyon France",49.569748,2.980487,Unclaimed,,#1 of 1 Quick Bite in Noyon,#23 of 26 places to eat in Noyon,"Cheap Eats, Quick Bites, Fast food",€,,Dinner,Fast food,,"Takeout, Parking Available, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Table Service",N,N,N,"{""Mon"": [""10:30-23:00""], ""Tue"": [""10:30-23:00""], ""Wed"": [""10:30-23:00""], ""Thu"": [""10:30-23:00""], ""Fri"": [""10:30-23:00""], ""Sat"": [""10:30-23:00""], ""Sun"": [""10:30-23:00""]}",7.0,87.5,7.0,2.5,50.0,English,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.5,2.0,,,2023-06-03,2023-12-31
g1021490-d1324294,La Fringale,"[""Europe"", ""France"", ""Hauts-de-France"", ""Oise"", ""Noyon""]",France,Hauts-de-France,Oise,Noyon,"10 Place Bertrand Labarre, 60400 Noyon France",49.580555,2.999992,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#3 of 23 Restaurants in Noyon,#3 of 26 places to eat in Noyon,"Mid-range, French, Vegetarian Friendly, Vegan Options",€€-€€€,,"Lunch, Dinner, After-hours",French,"Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [], ""Tue"": [""12:00-14:00"", ""19:00-21:30""], ""Wed"": [""12:00-14:00"", ""19:00-21:30""], ""Thu"": [""12:00-14:00"", ""19:00-21:30""], ""Fri"": [""12:00-14:00"", ""19:00-21:30""], ""Sat"": [""12:00-14:00"", ""19:00-21:30""], ""Sun"": [""12:00-14:00""]}",6.0,24.5,11.0,4.5,159.0,English,6.0,4.0,0.0,1.0,0.0,1.0,4.5,4.5,4.5,4.5,,,2014-01-06
g1021490-d14934268,Gpk_Restaurant,"[""Europe"", ""France"", ""Hauts-de-France"", ""Oise"", ""Noyon""]",France,Hauts-de-France,Oise,Noyon,"34 rue du General de Gaulle, 60400 Noyon France",49.582176,3.002567,Unclaimed,,#13 of 23 Restaurants in Noyon,#13 of 26 places to eat in Noyon,"Mid-range, Indian",€€-€€€,,"Lunch, Dinner",Indian,,"Takeout, Reservations, Seating, Table Service",N,N,N,,,,,4.5,17.0,English,1.0,0.0,1.0,0.0,0.0,0.0,4.5,4.5,4.5,,,2015-09-11,2018-10-01
